address,status,device,virtual_machine,interface,dns_name,description
10.102.20.19/24,active,AMER-DC-ONPREM-ESX-B03,,vmk0,amer-esx-b03.lab.local,AMER ESX-B03 Management
10.102.30.19/24,active,AMER-DC-ONPREM-ESX-B03,,vmk1,,AMER ESX-B03 vMotion
10.102.40.19/24,active,AMER-DC-ONPREM-ESX-B03,,vmk2,,AMER ESX-B03 vSAN
10.102.20.20/24,active,AMER-DC-ONPREM-ESX-B04,,vmk0,amer-esx-b04.lab.local,AMER ESX-B04 Management
10.102.30.20/24,active,AMER-DC-ONPREM-ESX-B04,,vmk1,,AMER ESX-B04 vMotion
10.102.40.20/24,active,AMER-DC-ONPREM-ESX-B04,,vmk2,,AMER ESX-B04 vSAN
10.102.20.21/24,active,AMER-DC-ONPREM-ESX-MGT01,,vmk0,amer-esx-mgt01.lab.local,AMER ESX-MGT01 Management
10.102.30.21/24,active,AMER-DC-ONPREM-ESX-MGT01,,vmk1,,AMER ESX-MGT01 vMotion
10.102.40.21/24,active,AMER-DC-ONPREM-ESX-MGT01,,vmk2,,AMER ESX-MGT01 vSAN
10.102.20.22/24,active,AMER-DC-ONPREM-ESX-MGT02,,vmk0,amer-esx-mgt02.lab.local,AMER ESX-MGT02 Management
10.102.30.22/24,active,AMER-DC-ONPREM-ESX-MGT02,,vmk1,,AMER ESX-MGT02 vMotion
10.102.40.22/24,active,AMER-DC-ONPREM-ESX-MGT02,,vmk2,,AMER ESX-MGT02 vSAN
10.102.20.23/24,active,AMER-DC-ONPREM-ESX-MGT03,,vmk0,amer-esx-mgt03.lab.local,AMER ESX-MGT03 Management
10.102.30.23/24,active,AMER-DC-ONPREM-ESX-MGT03,,vmk1,,AMER ESX-MGT03 vMotion
10.102.40.23/24,active,AMER-DC-ONPREM-ESX-MGT03,,vmk2,,AMER ESX-MGT03 vSAN
10.100.60.40/24,active,,EMEA-Redis-01,eth0,emea-redis-01.lab.local,EMEA Redis 01
10.100.60.41/24,active,,EMEA-Redis-02,eth0,emea-redis-02.lab.local,EMEA Redis 02
10.100.70.40/24,active,,EMEA-Redis-01,eth1,,EMEA Redis 01 Cluster
10.100.70.41/24,active,,EMEA-Redis-02,eth1,,EMEA Redis 02 Cluster
10.100.60.50/24,active,,EMEA-Kafka-01,eth0,emea-kafka-01.lab.local,EMEA Kafka 01 Management
10.100.70.50/24,active,,EMEA-Kafka-01,eth1,,EMEA Kafka 01 Replication
10.100.60.51/24,active,,EMEA-Kafka-02,eth0,emea-kafka-02.lab.local,EMEA Kafka 02 Management
10.100.70.51/24,active,,EMEA-Kafka-02,eth1,,EMEA Kafka 02 Replication
10.100.60.60/24,active,,EMEA-ELK-ES-01,eth0,emea-elk-es-01.lab.local,EMEA Elasticsearch 01 Management
10.100.70.60/24,active,,EMEA-ELK-ES-01,eth1,,EMEA Elasticsearch 01 Cluster
10.100.60.61/24,active,,EMEA-ELK-ES-02,eth0,emea-elk-es-02.lab.local,EMEA Elasticsearch 02 Management
10.100.70.61/24,active,,EMEA-ELK-ES-02,eth1,,EMEA Elasticsearch 02 Cluster
10.101.60.40/24,active,,APAC-Redis-01,eth0,apac-redis-01.lab.local,APAC Redis 01
10.101.60.41/24,active,,APAC-Redis-02,eth0,apac-redis-02.lab.local,APAC Redis 02
10.101.70.40/24,active,,APAC-Redis-01,eth1,,APAC Redis 01 Cluster
10.101.70.41/24,active,,APAC-Redis-02,eth1,,APAC Redis 02 Cluster
10.101.60.50/24,active,,APAC-Kafka-01,eth0,apac-kafka-01.lab.local,APAC Kafka 01 Management
10.101.70.50/24,active,,APAC-Kafka-01,eth1,,APAC Kafka 01 Replication
10.101.60.51/24,active,,APAC-Kafka-02,eth0,apac-kafka-02.lab.local,APAC Kafka 02 Management
10.101.70.51/24,active,,APAC-Kafka-02,eth1,,APAC Kafka 02 Replication
10.101.60.60/24,active,,APAC-ELK-ES-01,eth0,apac-elk-es-01.lab.local,APAC Elasticsearch 01 Management
10.101.70.60/24,active,,APAC-ELK-ES-01,eth1,,APAC Elasticsearch 01 Cluster
10.101.60.61/24,active,,APAC-ELK-ES-02,eth0,apac-elk-es-02.lab.local,APAC Elasticsearch 02 Management
10.101.70.61/24,active,,APAC-ELK-ES-02,eth1,,APAC Elasticsearch 02 Cluster
10.102.60.40/24,active,,AMER-Redis-01,eth0,amer-redis-01.lab.local,AMER Redis 01
10.102.60.41/24,active,,AMER-Redis-02,eth0,amer-redis-02.lab.local,AMER Redis 02
10.102.70.40/24,active,,AMER-Redis-01,eth1,,AMER Redis 01 Cluster
10.102.70.41/24,active,,AMER-Redis-02,eth1,,AMER Redis 02 Cluster
10.102.60.50/24,active,,AMER-Kafka-01,eth0,amer-kafka-01.lab.local,AMER Kafka 01 Management
10.102.70.50/24,active,,AMER-Kafka-01,eth1,,AMER Kafka 01 Replication
10.102.60.51/24,active,,AMER-Kafka-02,eth0,amer-kafka-02.lab.local,AMER Kafka 02 Management
10.102.70.51/24,active,,AMER-Kafka-02,eth1,,AMER Kafka 02 Replication
10.102.60.60/24,active,,AMER-ELK-ES-01,eth0,amer-elk-es-01.lab.local,AMER Elasticsearch 01 Management
10.102.70.60/24,active,,AMER-ELK-ES-01,eth1,,AMER Elasticsearch 01 Cluster
10.102.60.61/24,active,,AMER-ELK-ES-02,eth0,amer-elk-es-02.lab.local,AMER Elasticsearch 02 Management
10.102.70.61/24,active,,AMER-ELK-ES-02,eth1,,AMER Elasticsearch 02 Cluster
